                        ,,Mode    ,accuracy           ,Male               ,Female             ,East Asian         ,White              ,Latino Hispanic    ,Southeast Asian    ,Black              ,Indian             ,Middle Eastern     ,0-2                ,3-9                ,10-19              ,20-29              ,30-39              ,40-49              ,50-59              ,60-69              ,more than 70
openai                  ,,Avg Sum ,0.948694540807011,0.955628453038674,0.940914374273537,0.952903225806452,0.937170263788969,0.939001848428836,0.951943462897526,0.929948586118252,0.968337730870712,0.97187758478081,0.78391959798995,0.921828908554572,0.92125317527519,0.947878787878788,0.966094420600858,0.96969696969697,0.974874371859296,0.981308411214953,0.983050847457627
openai                  ,,Top 1   ,0.954354573671718,0.953901933701657,0.954862456412243,0.958064516129032,0.947242206235012,0.950092421441774,0.952650176678445,0.938946015424165,0.968337730870712,0.97187758478081,0.798994974874372,0.926253687315634,0.925486875529212,0.957575757575758,0.972103004291846,0.971914264597191,0.973618090452261,0.981308411214953,0.983050847457627
laion400m_e31           ,,Avg Sum ,0.958097498630637,0.946650552486188,0.970941495544363,0.956774193548387,0.962589928057554,0.963031423290203,0.947703180212014,0.934447300771208,0.967678100263852,0.97601323407775,0.758793969849246,0.922566371681416,0.934801016088061,0.962727272727273,0.978111587982833,0.982261640798226,0.976130653266332,0.981308411214953,0.949152542372881
laion400m_e31           ,,Top 1   ,0.956728135840789,0.959944751381216,0.953118946144905,0.954193548387097,0.95347721822542,0.957486136783734,0.94982332155477,0.940231362467866,0.968997361477572,0.978494623655914,0.798994974874372,0.929203539823009,0.940728196443692,0.957575757575758,0.972532188841202,0.977087952697709,0.973618090452261,0.981308411214953,0.949152542372881
laion2b_s32b_b82k       ,,Avg Sum ,0.964579149169253,0.950103591160221,0.980821387059279,0.961290322580645,0.965467625899281,0.968576709796673,0.956890459363958,0.953084832904884,0.970976253298153,0.977667493796526,0.718592964824121,0.928466076696165,0.941574936494496,0.974545454545454,0.983690987124464,0.9830007390983,0.983668341708543,0.984423676012461,0.974576271186441
laion2b_s32b_b82k       ,,Top 1   ,0.966496257075041,0.962016574585635,0.971522665633475,0.960645161290323,0.968345323741007,0.970425138632163,0.961837455830389,0.951799485861183,0.973614775725594,0.980976013234078,0.773869346733668,0.944690265486726,0.951735817104149,0.970909090909091,0.983261802575107,0.980044345898004,0.978643216080402,0.978193146417446,0.966101694915254
datacomp_xl_s13b_b90k   ,,Avg Sum ,0.963483658937374,0.946995856353591,0.981983727237505,0.950967741935484,0.963549160671463,0.972889710412816,0.949116607773852,0.954370179948586,0.975593667546174,0.98014888337469,0.758793969849246,0.924041297935103,0.941574936494496,0.970909090909091,0.983690987124464,0.983739837398374,0.979899497487437,0.987538940809969,0.966101694915254
datacomp_xl_s13b_b90k   ,,Top 1   ,0.964213985758627,0.958218232044199,0.970941495544363,0.952258064516129,0.963549160671463,0.973505853357979,0.953356890459364,0.955655526992288,0.974934036939314,0.978494623655914,0.778894472361809,0.935840707964602,0.95004233700254,0.967575757575758,0.981115879828326,0.982261640798226,0.979899497487437,0.978193146417446,0.966101694915254
commonpool_xl_s13b_b90k ,,Avg Sum ,0.958188789483294,0.935600828729282,0.983533514141806,0.949032258064516,0.964988009592326,0.969808995686999,0.942756183745583,0.931876606683805,0.968997361477572,0.980976013234078,0.708542713567839,0.897492625368732,0.944115156646909,0.968787878787879,0.984549356223176,0.981522542498152,0.972361809045226,0.990654205607477,0.949152542372881
commonpool_xl_s13b_b90k ,,Top 1   ,0.960288479094395,0.950103591160221,0.971716388996513,0.953548387096774,0.958273381294964,0.968576709796673,0.953356890459364,0.939588688946015,0.972295514511873,0.980976013234078,0.753768844221106,0.918141592920354,0.948348856900931,0.964545454545455,0.981974248927039,0.9830007390983,0.972361809045226,0.987538940809969,0.949152542372881
