,,Mode,accuracy,Male,Female,East Asian,White,Latino Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
openai,0,Avg Sum,0.937009311666971,0.9563190607734806,0.9153428903525764,0.9335483870967742,0.947242206235012,0.9279112754158964,0.9484098939929329,0.9003856041131105,0.949868073878628,0.9536807278742764,0.7738693467336684,0.9174041297935104,0.9093988145639288,0.9363636363636364,0.9510729613733906,0.9571322985957132,0.96356783919598,0.968847352024922,0.9576271186440678
openai,1,Top 1,0.937009311666971,0.9563190607734806,0.9153428903525764,0.9335483870967742,0.947242206235012,0.9279112754158964,0.9484098939929329,0.9003856041131105,0.949868073878628,0.9536807278742764,0.7738693467336684,0.9174041297935104,0.9093988145639288,0.9363636363636364,0.9510729613733906,0.9571322985957132,0.96356783919598,0.968847352024922,0.9576271186440678
laion400m_e31,0,Avg Sum,0.951250684681395,0.9461325966850828,0.9569934134056568,0.9451612903225808,0.954916067146283,0.9531731361675908,0.9477031802120142,0.922879177377892,0.966358839050132,0.9718775847808104,0.7487437185929648,0.9218289085545722,0.9280270956816258,0.9518181818181818,0.9708154506437768,0.974870657797487,0.9761306532663316,0.9813084112149532,0.940677966101695
laion400m_e31,1,Top 1,0.951250684681395,0.9461325966850828,0.9569934134056568,0.9451612903225808,0.954916067146283,0.9531731361675908,0.9477031802120142,0.922879177377892,0.966358839050132,0.9718775847808104,0.7487437185929648,0.9218289085545722,0.9280270956816258,0.9518181818181818,0.9708154506437768,0.974870657797487,0.9761306532663316,0.9813084112149532,0.940677966101695
laion2b_s32b_b82k,0,Avg Sum,0.9590104071572028,0.9399171270718232,0.9804339403332042,0.96,0.9635491606714628,0.9587184226740604,0.953356890459364,0.9421593830334192,0.966358839050132,0.9693961952026467,0.7537688442211056,0.9233038348082596,0.933107535986452,0.9657575757575756,0.9785407725321889,0.9785661492978566,0.9798994974874372,0.9844236760124612,0.9661016949152542
laion2b_s32b_b82k,1,Top 1,0.9590104071572028,0.9399171270718232,0.9804339403332042,0.96,0.9635491606714628,0.9587184226740604,0.953356890459364,0.9421593830334192,0.966358839050132,0.9693961952026467,0.7537688442211056,0.9233038348082596,0.933107535986452,0.9657575757575756,0.9785407725321889,0.9785661492978566,0.9798994974874372,0.9844236760124612,0.9661016949152542
datacomp_xl_s13b_b90k,0,Avg Sum,0.9601058973890816,0.9499309392265194,0.9715226656334754,0.9470967741935484,0.9630695443645084,0.9661121380160196,0.945583038869258,0.9498714652956298,0.9716358839050132,0.979321753515302,0.7386934673366834,0.9196165191740412,0.9373412362404742,0.9657575757575756,0.9824034334763948,0.984478935698448,0.978643216080402,0.9844236760124612,0.9576271186440678
datacomp_xl_s13b_b90k,1,Top 1,0.9601058973890816,0.9499309392265194,0.9715226656334754,0.9470967741935484,0.9630695443645084,0.9661121380160196,0.945583038869258,0.9498714652956298,0.9716358839050132,0.979321753515302,0.7386934673366834,0.9196165191740412,0.9373412362404742,0.9657575757575756,0.9824034334763948,0.984478935698448,0.978643216080402,0.9844236760124612,0.9576271186440678
commonpool_xl_s13b_b90k,0,Avg Sum,0.9495161584809202,0.9242058011049724,0.9779155366137156,0.9412903225806452,0.9577937649880096,0.9630314232902032,0.9328621908127208,0.9132390745501284,0.9617414248021108,0.978494623655914,0.7035175879396985,0.8672566371681416,0.9254868755292124,0.9633333333333334,0.9793991416309012,0.9800443458980044,0.9736180904522612,0.9906542056074766,0.9491525423728814
commonpool_xl_s13b_b90k,1,Top 1,0.9495161584809202,0.9242058011049724,0.9779155366137156,0.9412903225806452,0.9577937649880096,0.9630314232902032,0.9328621908127208,0.9132390745501284,0.9617414248021108,0.978494623655914,0.7035175879396985,0.8672566371681416,0.9254868755292124,0.9633333333333334,0.9793991416309012,0.9800443458980044,0.9736180904522612,0.9906542056074766,0.9491525423728814
