                        ,  ,Mode    ,balanced_accuracy  ,East Asian         ,White              ,Latino Hispanic    ,Southeast Asian    ,Black              ,Indian             ,Middle Eastern     ,0-2                ,3-9                ,10-19              ,20-29              ,30-39              ,40-49              ,50-59              ,60-69              ,more than 70
openai                  ,0 ,Avg Sum ,0.9534176587407768 ,0.9586927530006444 ,0.9419705576934824 ,0.945891763776417  ,0.9550870348139257 ,0.9380839325246386 ,0.9670083318973994 ,0.973680532259868  ,0.7696833547282842 ,0.9325466574503802 ,0.927656152728782  ,0.9553368513737016 ,0.9737222375293496 ,0.9678687773592588 ,0.9789112903225806 ,0.9727943046020848 ,0.9747126436781608
openai                  ,1 ,Top 1   ,0.9516574920102492 ,0.9496437853488306 ,0.9432297132956836 ,0.949281362524499  ,0.953671468587435  ,0.9326254912431822 ,0.9697339954293792 ,0.9700557232845056 ,0.7737483953786906 ,0.9238965142687864 ,0.9272973300131424 ,0.9560225122853776 ,0.9668542455316498 ,0.9701720452000406 ,0.9755779569892472 ,0.9815662344266464 ,0.9747126436781608
laion400m_e31           ,0 ,Avg Sum ,0.958122072743658  ,0.9555018888783442 ,0.9611119440696132 ,0.962016287090354  ,0.9477691076430572 ,0.93227829370597   ,0.9689046348463726 ,0.9788288791978828 ,0.7665810868635001 ,0.9274744083473224 ,0.9364595582301538 ,0.962773520697738  ,0.9766691923427092 ,0.9795632698768196 ,0.974260752688172  ,0.975209763539283  ,0.9488505747126436
laion400m_e31           ,1 ,Top 1   ,0.9580146753474712 ,0.9574357206957466 ,0.9556907724857148 ,0.9619881797049484 ,0.9489645858343336 ,0.9369018075765116 ,0.9689568506228472 ,0.9775662529352568 ,0.7975502781343603 ,0.9220598400315988 ,0.934996887321021  ,0.9614787965684232 ,0.9781426697493892 ,0.9795632698768196 ,0.9775940860215052 ,0.9795957284515636 ,0.9405172413793104
laion2b_s32b_b82k       ,0 ,Avg Sum ,0.9658499358358252 ,0.9613167038781528 ,0.9674118868731294 ,0.969875719776964  ,0.9564275710284114 ,0.9511550931398728 ,0.9708270456835828 ,0.981969137873197  ,0.7315468549422337 ,0.9285639050722492 ,0.9398633303359388 ,0.9745770022488488 ,0.9879576165604484 ,0.9843988598187928 ,0.9849193548387096 ,0.9839816933638444 ,0.9660919540229884
laion2b_s32b_b82k       ,1 ,Top 1   ,0.964093849604312  ,0.9587293817565486 ,0.9674077220806192 ,0.965490207994652  ,0.9562625050020008 ,0.9517808753676572 ,0.9695860507293674 ,0.9789267210853928 ,0.7265190415062046 ,0.9297751884401436 ,0.9406544695764452 ,0.9710311983151482 ,0.9849088360726436 ,0.9840298279548    ,0.9839112903225806 ,0.9815662344266464 ,0.9660919540229884
datacomp_xl_s13b_b90k   ,0 ,Avg Sum ,0.9649129261646412 ,0.9523076948691438 ,0.966148566478418  ,0.9725102174144244 ,0.9474739895958384 ,0.9587686391344532 ,0.97483721731684   ,0.9794438853479444 ,0.7938596491228069 ,0.9270761331095092 ,0.9395045076202992 ,0.9717146282260272 ,0.985340846470842  ,0.9825537004988292 ,0.9759274193548386 ,0.9883676582761252 ,0.9660919540229884
datacomp_xl_s13b_b90k   ,1 ,Top 1   ,0.9637104833772512 ,0.9522777258870404 ,0.9651101448792488 ,0.9725383247998298 ,0.9498649459783912 ,0.9531018793306693 ,0.9728974012208048 ,0.9794764993104476 ,0.788831835686778  ,0.928010927882558  ,0.9384741532360332 ,0.9706206941684614 ,0.982774989218458  ,0.9827827547592384 ,0.970268817204301  ,0.9839816933638444 ,0.9747126436781608
commonpool_xl_s13b_b90k ,0 ,Avg Sum ,0.9622830445499516 ,0.9535913662692448 ,0.965040731670748  ,0.9694419544508424 ,0.9494597839135654 ,0.9400298920546324 ,0.9721985800789852 ,0.9850767825860076 ,0.7816645271715875 ,0.9184424475823706 ,0.9449689884946162 ,0.9672169306188498 ,0.9838082203268006 ,0.9815865825104346 ,0.9739112903225806 ,0.9907831172133232 ,0.957471264367816
commonpool_xl_s13b_b90k ,1 ,Top 1   ,0.9620828659712604 ,0.9568022097129472 ,0.9586588812812012 ,0.9700443640893968 ,0.9533213285314126 ,0.9437845854213408 ,0.9715780826018774 ,0.981969137873197  ,0.7985130509199829 ,0.9269378888120864 ,0.9399829379078186 ,0.9663282486346276 ,0.981682609372754  ,0.980021378397638  ,0.9718951612903226 ,0.9907831172133232 ,0.957471264367816
