,Mode,Accuracy,Male,Female,East Asian,White,Latino Hispanic,Southeast Asian,Black,Indian,Middle Eastern,00-02,03-09,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
openai,Avg Sum,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
openai,Top 1,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
laion400m_e31,Avg Sum,0.530308563081979,0.99378453038674,0.0102673382409918,0.503870967741936,0.539568345323741,0.489217498459643,0.52226148409894,0.518637532133676,0.495382585751979,0.671629445822994,0.618090452261307,0.553097345132743,0.469940728196444,0.445454545454545,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
laion400m_e31,Top 1,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
laion2b_s32b_b82k,Avg Sum,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
laion2b_s32b_b82k,Top 1,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
datacomp_xl_s13b_b90k,Avg Sum,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
datacomp_xl_s13b_b90k,Top 1,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
commonpool_xl_s13b_b90k,Avg Sum,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
commonpool_xl_s13b_b90k,Top 1,0.528756618586818,1,0,0.501290322580645,0.538129496402878,0.488601355514479,0.519434628975265,0.513496143958869,0.496701846965699,0.672456575682382,0.618090452261307,0.546460176991151,0.464860287891617,0.444848484848485,0.563090128755365,0.617886178861789,0.623115577889447,0.644859813084112,0.508474576271186
